min,desired,current,sat_raw,actTTFT_s
0.00,3.0,8.0,0.0,
0.50,3.0,7.0,0.0,
1.00,3.0,7.0,0.0,0.29597002768696257
1.50,4.0,7.0,0.3460869565217391,0.29784235309954965
2.00,4.0,7.0,0.3460869565217391,0.2984649017163528
2.50,4.0,6.0,0.23499999999999993,0.29785875637123055
3.00,4.0,6.0,0.23499999999999993,0.30095722126796964
3.50,4.0,6.0,0.19142857142857142,0.30294359250986436
4.00,4.0,6.0,0.19142857142857142,0.3001515024516266
4.50,3.0,5.0,0.21999999999999997,0.3003177987839939
5.00,3.0,5.0,0.21999999999999997,0.30087247527805466
5.50,4.0,5.0,0.28947368421052627,0.3003664956864668
6.00,4.0,5.0,0.28947368421052627,0.3011438155193829
6.50,3.0,4.0,0.27428571428571447,0.30165081964671403
7.00,3.0,4.0,0.27428571428571447,0.30922684336876144
7.50,4.0,4.0,0.37845070422535215,0.3344280341483646
8.00,4.0,4.0,0.37845070422535215,0.319022492760235
8.50,4.0,4.0,0.37959798994974875,0.3157071485228739
9.00,4.0,4.0,0.37959798994974875,0.31194618435374005
9.50,4.0,4.0,0.38000000000000006,0.31350727629517977
10.00,4.0,4.0,0.38000000000000006,0.3151302954018694
10.50,4.0,4.0,0.38000000000000006,0.31462274563904336
11.00,4.0,4.0,0.38000000000000006,0.31478806501277196
11.50,4.0,4.0,0.38000000000000006,0.3161745253160086
12.00,4.0,4.0,0.38000000000000006,0.32025918288189065
12.50,4.0,4.0,0.38000000000000006,0.3194930150455978
13.00,4.0,4.0,0.38000000000000006,0.31715783410432846
13.50,4.0,4.0,0.372,0.31744203723021197
14.00,4.0,4.0,0.372,0.32954188126564077
14.50,4.0,4.0,0.3841584158415841,0.3419510820222581
15.00,4.0,4.0,0.3841584158415841,0.3499249996753429
15.50,4.0,4.0,0.45818181818181825,0.3457344660856077
16.00,4.0,4.0,0.45818181818181825,0.33770456505869745
16.50,4.0,4.0,0.4236363636363637,0.35733571697698385
17.00,4.0,4.0,0.4236363636363637,0.8318758771831974
17.50,7.0,4.0,1.2372093023255812,1.6523829460150627
18.00,7.0,4.0,1.2372093023255812,3.8839404200507786
18.50,8.0,7.0,2.542857142857143,4.292101847948058
19.00,8.0,7.0,2.542857142857143,3.614790731400074
19.50,8.0,8.0,1.9794520547945205,4.354679612046087
20.00,8.0,8.0,1.9794520547945205,0.3581115228537238
20.50,8.0,8.0,0.5050000000000001,0.5084792487652017
21.00,8.0,8.0,0.5050000000000001,0.647916576358434
21.50,8.0,8.0,0.5197080291970803,0.515642330387697
22.00,8.0,8.0,0.5197080291970803,0.3191369124845928
22.50,8.0,8.0,0.3804054054054054,0.3157152644723436
23.00,8.0,8.0,0.3804054054054054,0.31095059452154994
23.50,8.0,8.0,0.3802803738317757,0.3152539811771434
24.00,8.0,8.0,0.3802803738317757,0.3184170934311033
24.50,8.0,8.0,0.38000000000000006,0.3164621969913399
25.00,8.0,8.0,0.38000000000000006,0.3166885366064277
25.50,8.0,8.0,0.38000000000000006,0.3170162372138589
26.00,8.0,8.0,0.38000000000000006,0.31455200428724633
26.50,8.0,8.0,0.38492146596858634,0.3129238325575619
27.00,8.0,8.0,0.38492146596858634,0.3227566383885312
27.50,8.0,8.0,0.3813508442776735,0.3298143443500935
28.00,8.0,8.0,0.3813508442776735,0.3319149211407471
28.50,8.0,8.0,0.3828825622775801,0.3302663437013611
29.00,8.0,8.0,0.3828825622775801,0.3274562500777038
29.50,8.0,8.0,0.3806990291262136,0.32708955788219146
30.00,8.0,8.0,0.3806990291262136,0.32743754757570004
30.50,8.0,8.0,0.38066666666666665,0.3269997098184845
31.00,8.0,8.0,0.38066666666666665,0.3278867434610413
31.50,8.0,8.0,0.380972972972973,0.3263644388040748
32.00,8.0,8.0,0.380972972972973,0.325162571809706
32.50,8.0,8.0,0.38113432835820893,0.3201024080605669
33.00,8.0,8.0,0.38113432835820893,0.30098721786731425
33.50,8.0,8.0,0.36647058823529405,0.3063560687378696
34.00,8.0,8.0,0.36647058823529405,0.3056206301199402
34.50,8.0,8.0,0.3682089552238807,0.30247772557193964
35.00,8.0,8.0,0.3682089552238807,0.3034982350352272
35.50,8.0,8.0,0.36942148760330573,0.3042833735881923
36.00,8.0,8.0,0.36942148760330573,0.3022826666245647
36.50,8.0,8.0,0.3751666666666667,0.3030582379033787
37.00,8.0,8.0,0.3751666666666667,0.3047468517685378
37.50,8.0,8.0,0.36418604651162795,0.30296686447259785
38.00,8.0,8.0,0.36418604651162795,0.3018409207053842
38.50,8.0,8.0,0.3681999999999999,0.302775610617012
39.00,8.0,8.0,0.3681999999999999,0.3020701258105089
39.50,8.0,8.0,0.3457142857142857,0.29522099010858005
40.00,8.0,8.0,0.3457142857142857,0.29434104292938307
40.50,7.0,8.0,0.3399999999999999,0.2973145489801881
41.00,7.0,8.0,0.3399999999999999,0.2980214926722291
41.50,8.0,8.0,0.39230769230769236,0.29583563737883356
42.00,8.0,8.0,0.39230769230769236,0.2937773754194495
42.50,8.0,8.0,0.38909090909090904,0.2950348439323025
43.00,8.0,8.0,0.38909090909090904,0.2985360525602697
43.50,7.0,8.0,0.25000000000000006,0.30377575367210424
44.00,7.0,8.0,0.25000000000000006,0.306382928897149
44.50,3.0,8.0,0.0,
45.00,3.0,8.0,0.0,
45.50,3.0,8.0,0.0,
46.00,3.0,8.0,0.0,
46.50,3.0,7.0,0.0,
47.00,3.0,7.0,0.0,
47.50,3.0,7.0,0.0,
48.00,3.0,7.0,0.0,
48.50,3.0,6.0,0.0,
49.00,3.0,6.0,0.0,
49.50,3.0,6.0,0.0,
50.00,3.0,6.0,0.0,
50.50,3.0,5.0,0.0,
51.00,3.0,5.0,0.0,
51.50,3.0,5.0,0.0,
52.00,3.0,5.0,0.0,
52.50,3.0,4.0,0.0,
53.00,3.0,4.0,0.0,
53.50,3.0,4.0,0.0,
54.00,3.0,4.0,0.0,
54.50,3.0,3.0,0.0,
55.00,3.0,3.0,0.0,
55.50,3.0,3.0,0.0,
56.00,3.0,3.0,0.0,
56.50,3.0,3.0,0.0,
57.00,3.0,3.0,0.0,
57.50,3.0,3.0,0.0,
58.00,3.0,3.0,0.0,
58.50,3.0,3.0,0.0,
59.00,3.0,3.0,0.0,
59.50,3.0,3.0,0.0,
60.00,3.0,3.0,0.0,
60.50,3.0,3.0,0.0,
61.00,3.0,3.0,0.0,
61.50,3.0,3.0,0.0,
62.00,3.0,3.0,0.0,
62.50,3.0,3.0,0.0,
63.00,3.0,3.0,0.0,
63.50,3.0,3.0,0.0,
64.00,3.0,3.0,0.0,
64.50,3.0,3.0,0.0,
65.00,3.0,3.0,0.0,
65.50,3.0,3.0,0.0,
66.00,3.0,3.0,0.0,
66.50,3.0,3.0,0.0,
67.00,3.0,3.0,0.0,
67.50,3.0,3.0,0.0,
68.00,3.0,3.0,0.0,
68.50,3.0,3.0,0.0,
69.00,3.0,3.0,0.0,
69.50,3.0,3.0,0.0,
70.00,3.0,3.0,0.0,
70.50,3.0,3.0,0.0,
71.00,3.0,3.0,0.0,
71.50,3.0,3.0,0.0,
72.00,3.0,3.0,0.0,
72.50,3.0,3.0,0.0,
73.00,3.0,3.0,0.0,
73.50,3.0,3.0,0.0,
74.00,3.0,3.0,0.0,
74.50,3.0,3.0,0.0,
75.00,3.0,3.0,0.0,
75.50,3.0,3.0,0.0,
76.00,3.0,3.0,0.0,
