ts,sat_raw,sat_smoothed,desired,current,predTTFT_s,actTTFT_s,actTPOT_s,req_total,ttft_viol,tpot_viol,running
21:50:35,0.23213825079560216,0.4380904427454952,8,8,0.288593262379058,0.2975307603548288,0.020788656799242262,23730,,,131
21:51:05,0.22193635630414268,0.3732442168130894,6,8,0.28565808401055803,0.28897264626498415,0.017331539216756103,23816,,,61
21:51:36,0.22193635630414268,0.3732442168130894,6,8,0.2819539596881015,0.28317940942593234,0.019576336542119398,23912,,,124
21:52:06,0.202541702631382,0.3220334625585771,3,3,0.29012585980803596,0.3049075685815875,0.02518357533395126,24008,,,89
21:52:37,0.202541702631382,0.3220334625585771,3,3,0.30214898725739,0.3111177808264468,0.026997636143627813,24092,,,72
21:53:07,0.4197638499599686,0.35135257877899456,3,3,0.3034080200195388,0.307899973118356,0.026673655554636428,24182,,,80
21:53:37,0.4197638499599686,0.35135257877899456,3,3,0.30643525400458116,0.3110523577481922,0.02649952295636937,24272,,,82
21:54:08,0.35346721891684035,0.3519869708203483,3,3,0.3122470683343793,0.3180297179689076,0.02693845449098234,24379,,,91
21:54:38,0.35346721891684035,0.3519869708203483,3,3,0.3080199873388998,0.3140687410549418,0.027210186270057942,24461,,,72
21:55:09,0.37116885727751886,0.3577415367574994,3,3,0.30502649101172524,0.31176440751733026,0.02652636992568061,24552,,,79
21:55:39,0.37116885727751886,0.3577415367574994,3,3,0.30143082799662435,0.3057066897053095,0.026049366169935143,24637,,,77
21:56:09,0.30197928628973575,0.3410128616171703,3,3,0.29945395013343346,0.30337408352550227,0.02466460936174619,24667,,,26
21:56:40,0.30197928628973575,0.3410128616171703,3,3,0.2962169927730319,0.3028320196666608,0.023880591492742857,24781,,,108
21:57:10,0.5918120670319068,0.41625262324159124,3,3,0.3000296453049013,0.3051810662231114,0.031081346073946865,24913,,,151
21:57:41,0.5918120670319068,0.41625262324159124,3,3,0.32295543064215165,0.3289287020564258,0.035304794421904845,25041,,,161
21:58:11,0.5220738608042524,0.4479989945103896,3,3,0.3336429072017148,0.3419972697831922,0.037254082562784556,25156,,,148
