ts,sat_raw,sat_smoothed,desired,current,predTTFT_s,actTTFT_s,actTPOT_s,req_total,ttft_viol,tpot_viol,running
03:14:21,0,0,3,8,NaN,NaN,NaN,133433,,,0
03:14:51,0,0,3,8,0.27724385071037844,0.28312964767048304,0.01624320463840625,133484,,,40
03:15:22,0.20421729584803627,0.06126518875441088,3,7,0.2775937088982513,0.2845855235308409,0.01669731494138735,133543,,,35
03:15:52,0.20421729584803627,0.06126518875441088,3,7,0.2802352356487133,0.2879304956564178,0.016420555986962005,133603,,,39
03:16:22,0.18657333694884462,0.09885763321274099,3,7,0.2803533659645855,0.2884532628825518,0.016255154524450786,133642,,,21
03:16:53,0.18657333694884462,0.09885763321274099,3,7,0.27694157842840805,0.2846787316283505,0.016331193053242474,133707,,,30
03:17:23,0.18952943760008825,0.12605917452894516,3,6,0.2757182574949842,0.2827443306334317,0.01642954634362468,133761,,,31
03:17:54,0.18952943760008825,0.12605917452894516,3,6,0.27884042473237536,0.2867512075760055,0.016833484189726945,133823,,,34
03:18:24,0.19010230417557575,0.14527211342293433,3,6,0.2799197351218227,0.28792699883102413,0.016996171283666827,133878,,,31
03:18:54,0.19010230417557575,0.14527211342293433,3,6,0.28154170467633377,0.289660386589429,0.017044435162532547,133942,,,50
03:19:25,0.20618113072113178,0.16354481861239356,3,5,0.2808157044825499,0.28910390622026866,0.017894640395284763,134006,,,42
03:19:55,0.20618113072113178,0.16354481861239356,3,5,0.2807341534875544,0.28879082742798373,0.01844744797358715,134081,,,35
03:20:26,0.2144321255618194,0.1788110106972213,3,5,0.2820700493924644,0.28872706713154916,0.017928910250410136,134125,,,32
03:20:56,0.2144321255618194,0.1788110106972213,3,5,0.2821806258222238,0.2872830010661534,0.019525903109103963,134247,,,106
03:21:26,0.23871264360093658,0.19678150056833588,3,4,0.29412817648390976,0.3010786368336994,0.024010556452054743,134353,,,82
03:21:57,0.23871264360093658,0.19678150056833588,3,4,0.29464622558708387,0.3046559980643794,0.024473890326491183,134465,,,91
03:22:27,0.2777227563567269,0.22106387730485316,3,4,0.28945247890584613,0.29753822694866633,0.02444755341149551,134574,,,100
03:22:58,0.2777227563567269,0.22106387730485316,3,4,0.2979764459398437,0.302708018350707,0.02615167452264928,134714,,,140
03:23:28,0.2875416692268364,0.2410072148814481,3,3,0.30599249485665214,0.30866149378928287,0.02983757948793913,134836,,,146
03:23:58,0.2875416692268364,0.2410072148814481,3,3,0.32647538170241186,0.3318733018573101,0.03433612916354965,134948,,,133
03:24:29,0.36260903708533365,0.2774877615426138,3,3,0.3294394057361508,0.3341463731099085,0.03445018686566838,135056,,,114
03:24:59,0.36260903708533365,0.2774877615426138,3,3,0.3235101465360021,0.3297096289443,0.0335997395400588,135187,,,154
03:25:30,0.37419693586154495,0.30650051383829313,3,3,0.32518372300318354,0.32499692966823707,0.03537836943601356,135320,,,164
03:26:00,0.37419693586154495,0.30650051383829313,3,3,0.3296496861190389,0.3318252182260757,0.03779093485074081,135458,,,187
03:26:30,0.3900832678792539,0.33157534005058137,3,3,0.3349025808967906,0.3401551707381141,0.03972276323795697,135533,,,94
03:27:01,0.3900832678792539,0.33157534005058137,3,3,0.3387160414343023,0.3441223899144987,0.03516764234518257,135615,,,82
03:27:31,0.41705307241146716,0.35721865975884703,3,3,0.31532695182952386,0.3161375439329736,0.03007042257803701,135794,,,215
03:28:02,0.41705307241146716,0.35721865975884703,3,3,0.31818800772889516,0.3250204530719202,0.04127127229760958,135962,,,269
03:28:32,0.4063524223582864,0.3719587885386788,3,3,0.5130798228778579,0.5719559168344006,0.04668482101761642,136136,,,309
03:29:02,0.4063524223582864,0.3719587885386788,3,3,9.353738624986727,5.008318120110422,0.05291406173120007,136313,,,340
03:29:33,4.768745299964613,0.8603711519770751,4,3,19.091423263978324,12.727541486766055,0.060883095150739856,136523,,,403
03:30:03,4.768745299964613,0.8603711519770751,4,3,28.92800001697817,19.856574056570864,0.0682048318490279,136716,,,464
03:30:34,10.53141339359424,1.2022598063839527,5,4,33.96781182836874,27.088368447057594,0.07562370087716522,136906,,,502
03:31:04,10.53141339359424,1.2022598063839527,5,4,34.605469830618546,33.16531669804597,0.08159208993962222,137106,,,595
03:31:34,12.342527572770834,1.4415818644687668,6,5,44.4120913005871,42.08766703719853,0.09025136332792365,137296,,,618
03:32:05,12.342527572770834,1.4415818644687668,6,5,56.246468101473496,50.71962588367279,0.09949890831952148,137480,,,676
03:32:35,20.741924157417397,1.6091073051281368,6,6,71.137722502731,59.19232311768979,0.10790485700023238,137644,,,729
03:33:06,20.741924157417397,1.6091073051281368,6,6,81.45508875184524,68.27584344167519,0.11684038435594013,137693,,,608
03:33:36,25.463062149500104,1.7263751135896959,8,6,69.76953996151019,60.84135294554111,0.11012697170058665,137693,,,428
03:34:07,25.463062149500104,1.7263751135896959,8,6,65.50663044421417,64.03452144188515,0.11136245521949362,137693,,,225
03:34:37,23.817712701239586,1.808462579512787,8,7,80.69517735153637,86.92099690385723,0.12850054101493869,137693,,,3
03:35:07,23.817712701239586,1.808462579512787,8,7,87.27720217531716,97.29602968392572,0.13548669051804418,137889,,,188
03:35:38,21.292627030965043,1.8659238056589507,8,8,0.2967068779404231,0.2981986196489916,0.030672595216916912,138177,,,274
03:36:08,21.292627030965043,1.8659238056589507,8,8,0.30500961515807523,0.3099201826769258,0.03345836406787391,138397,,,258
03:36:38,0.35644775495047787,1.4130809904464088,8,8,0.3113156911832826,0.31964948270895993,0.03389926367368123,138621,,,226
03:37:09,0.35644775495047787,1.4130809904464088,8,8,0.3116087193668585,0.318502636229529,0.031244459750395043,138877,,,268
03:37:39,0.3580112611572068,1.0965600716596482,8,8,0.3027569468149209,0.3102712115048078,0.03077571621777407,139127,,,252
03:38:10,0.3580112611572068,1.0965600716596482,8,8,0.30140313036691974,0.3079305324066622,0.029959088817007356,139367,,,222
03:38:40,0.3371631503516723,0.8687409952672553,8,8,0.29838961936165975,0.3059666929261016,0.027707268514624163,139623,,,224
